id;start_date;end_date;language
1;2020-12-08T15:46:32;2020-12-08T13:36:47;GERMAN
2;2020-12-07T20:36:43;2020-12-08T15:41:08;GERMAN
3;2020-12-08T11:32:02;2020-12-07T22:06:11;FRENCH
4;2020-12-08T02:49:33;2020-12-08T14:20:59;FRENCH
5;2020-12-08T12:19:51;2020-12-08T17:06:50;FRENCH
6;2020-12-08T06:12:12;2020-12-08T18:20:26;ENGLISH
7;2020-12-08T07:57:32;2020-12-08T01:48:23;ENGLISH
8;2020-12-08T06:53:45;2020-12-08T17:09:53;GERMAN
9;2020-12-08T05:34:54;2020-12-08T02:16:17;GERMAN
10;2020-12-08T13:46:58;2020-12-08T00:21:28;GERMAN
